Algoritm,TipDate,Dimensiune,Timp_mediu_ns,Timp_mediu_ms,RAM_mediu_KB,Esantioane
QuickSort,almost_sorted,100000,2421840.000000,2.421840,177.600000,5
QuickSort,almost_sorted,200000,5647080.000000,5.647080,291.200000,5
QuickSort,few_unique,10000,81300.000000,0.081300,16.800000,5
QuickSort,few_unique,50000,309640.000000,0.309640,23.200000,5
QuickSort,few_unique,100000,568560.000000,0.568560,48.800000,5
QuickSort,few_unique,200000,1287880.000000,1.287880,124.800000,5
QuickSort,random,10000,342540.000000,0.342540,22.400000,5
QuickSort,random,50000,3951960.000000,3.951960,142.400000,5
QuickSort,random,100000,12738800.000000,12.738800,249.600000,5
QuickSort,random,200000,8991800.000000,8.991800,286.400000,5
QuickSort,reverse,10000,250940.000000,0.250940,24.000000,5
QuickSort,reverse,50000,2874100.000000,2.874100,150.400000,5
QuickSort,reverse,100000,7986740.000000,7.986740,207.200000,5
QuickSort,reverse,200000,23947180.000000,23.947180,276.800000,5
QuickSort,sorted,10000,294020.000000,0.294020,12.800000,5
QuickSort,sorted,50000,3607640.000000,3.607640,125.600000,5
QuickSort,sorted,100000,8254280.000000,8.254280,279.200000,5
QuickSort,sorted,200000,23267840.000000,23.267840,547.200000,5
SelectionSort,almost_sorted,10000,26350080.000000,26.350080,76.000000,5
SelectionSort,almost_sorted,50000,699307740.000000,699.307740,41.600000,5
SelectionSort,almost_sorted,100000,2862417100.000000,2862.417100,103.200000,5
SelectionSort,almost_sorted,200000,13854895280.000000,13854.895280,0.000000,5
SelectionSort,few_unique,10000,21673280.000000,21.673280,92.000000,5
SelectionSort,few_unique,50000,555592640.000000,555.592640,100.000000,5
SelectionSort,few_unique,100000,2266621820.000000,2266.621820,76.800000,5
SelectionSort,few_unique,200000,10856468540.000000,10856.468540,4.800000,5
SelectionSort,random,10000,30379420.000000,30.379420,79.200000,5
SelectionSort,random,50000,3050780300.000000,3050.780300,16.800000,5
SelectionSort,random,100000,22233645540.000000,22233.645540,0.800000,5
SelectionSort,random,200000,34651417800.000000,34651.417800,0.000000,5
SelectionSort,reverse,10000,21161020.000000,21.161020,92.000000,5
SelectionSort,reverse,50000,574393140.000000,574.393140,44.800000,5
SelectionSort,reverse,100000,2261327380.000000,2261.327380,135.200000,5
SelectionSort,reverse,200000,9378177020.000000,9378.177020,10.400000,5
SelectionSort,sorted,10000,20987540.000000,20.987540,79.200000,5
SelectionSort,sorted,50000,545392840.000000,545.392840,86.400000,5
SelectionSort,sorted,100000,2104718840.000000,2104.718840,83.200000,5
SelectionSort,sorted,200000,8620721560.000000,8620.721560,13.600000,5
