Algoritm,Timp_ns,Timp_ms,Timp_uman,RAM_bytes,RAM_KB,RAM_MB
HeapSort,4361900,4,4.362 ms,417792,408,0
QuickSort,11609800,11,11.610 ms,221184,216,0
MergeSort,22566000,22,22.566 ms,339968,332,0
InsertionSort,1158486200,1158,1.158 s,110592,108,0
SelectionSort,2259899200,2259,2.260 s,286720,280,0
BubbleSort,28724083300,28724,28.724 s,8192,8,0
