Algoritm,Timp_ns,Timp_ms,Timp_uman,RAM_bytes,RAM_KB,RAM_MB
HeapSort,5571800,5,5.572 ms,237568,232,0
QuickSort,7831600,7,7.832 ms,376832,368,0
MergeSort,16631600,16,16.632 ms,208896,204,0
InsertionSort,1196622000,1196,1.197 s,118784,116,0
SelectionSort,2278493700,2278,2.278 s,24576,24,0
BubbleSort,28603664900,28603,28.604 s,0,0,0
