Algorithm,Time_ms,Readable_time,RAM_bytes,RAM_KB,RAM_MB
HeapSort,0,0ms,49152,48,0
QuickSort,0,0ms,12288,12,0
InsertionSort,0,0ms,32768,32,0
MergeSort,1,1ms,135168,132,0
SelectionSort,26,26ms,102400,100,0
BubbleSort,74,74ms,94208,92,0
