Algoritm,Timp_ns,Timp_ms,Timp_uman,RAM_bytes,RAM_KB,RAM_MB
QuickSort,1188300,1,1.188 ms,110592,108,0
HeapSort,6759600,6,6.760 ms,466944,456,0
MergeSort,28437200,28,28.437 ms,225280,220,0
InsertionSort,1925723700,1925,1.926 s,57344,56,0
SelectionSort,11080219700,11080,11.080 s,0,0,0
BubbleSort,83126911200,83126,83.127 s,0,0,0
