Algoritm,Timp_ns,Timp_ms,Timp_uman,RAM_bytes,RAM_KB,RAM_MB
QuickSort,10226100,10,10.226 ms,225280,220,0
HeapSort,15505100,15,15.505 ms,311296,304,0
MergeSort,41672100,41,41.672 ms,200704,196,0
InsertionSort,2496482100,2496,2.496 s,0,0,0
SelectionSort,34820711200,34820,34.821 s,0,0,0
BubbleSort,97237894400,97237,97.238 s,0,0,0
