Algoritm,Timp_ns,Timp_ms,Timp_uman,RAM_bytes,RAM_KB,RAM_MB
QuickSort,1430100,1,1.430 ms,167936,164,0
HeapSort,7623800,7,7.624 ms,462848,452,0
MergeSort,31042400,31,31.042 ms,217088,212,0
InsertionSort,1844631800,1844,1.845 s,0,0,0
SelectionSort,10343080500,10343,10.343 s,24576,24,0
BubbleSort,82877876200,82877,82.878 s,0,0,0
