Algoritm,Timp_ns,Timp_ms,Timp_uman,RAM_bytes,RAM_KB,RAM_MB
QuickSort,310100,0,310.100 us,12288,12,0
HeapSort,628900,0,628.900 us,40960,40,0
MergeSort,1858500,1,1.859 ms,94208,92,0
InsertionSort,5698600,5,5.699 ms,86016,84,0
SelectionSort,31053300,31,31.053 ms,73728,72,0
BubbleSort,165448800,165,165.449 ms,81920,80,0
