Algoritm,Timp_ns,Timp_ms,Timp_uman,RAM_bytes,RAM_KB,RAM_MB
QuickSort,160300,0,160.300 us,4096,4,0
HeapSort,389400,0,389.400 us,12288,12,0
InsertionSort,1294600,1,1.295 ms,16384,16,0
MergeSort,1654200,1,1.654 ms,73728,72,0
SelectionSort,25473100,25,25.473 ms,98304,96,0
BubbleSort,74098300,74,74.098 ms,114688,112,0
