Algoritm,Timp_ns,Timp_ms,Timp_uman,RAM_bytes,RAM_KB,RAM_MB
QuickSort,2521700,2,2.522 ms,266240,260,0
HeapSort,5213200,5,5.213 ms,163840,160,0
MergeSort,17238800,17,17.239 ms,290816,284,0
InsertionSort,69735500,69,69.736 ms,208896,204,0
SelectionSort,2699718200,2699,2.700 s,139264,136,0
BubbleSort,7704402200,7704,7.704 s,0,0,0
