Algoritm,Timp_ns,Timp_ms,Timp_uman,RAM_bytes,RAM_KB,RAM_MB
HeapSort,4548100,4,4.548 ms,57344,56,0
QuickSort,7372900,7,7.373 ms,266240,260,0
MergeSort,13065800,13,13.066 ms,266240,260,0
InsertionSort,1178037600,1178,1.178 s,196608,192,0
SelectionSort,2246779500,2246,2.247 s,118784,116,0
BubbleSort,28757105700,28757,28.757 s,0,0,0
