Algoritm,Timp_ns,Timp_ms,Timp_uman,RAM_bytes,RAM_KB,RAM_MB
QuickSort,9000800,9,9.001 ms,208896,204,0
HeapSort,14441800,14,14.442 ms,262144,256,0
MergeSort,33945700,33,33.946 ms,188416,184,0
InsertionSort,2314721200,2314,2.315 s,139264,136,0
SelectionSort,34855310800,34855,34.855 s,0,0,0
BubbleSort,97275584100,97275,97.276 s,0,0,0
