Algoritm,Timp_ns,Timp_ms,Timp_uman,RAM_bytes,RAM_KB,RAM_MB
BubbleSort,30600,0,30.600 us,12288,12,0
InsertionSort,55000,0,55.000 us,12288,12,0
HeapSort,1919800,1,1.920 ms,163840,160,0
QuickSort,3253000,3,3.253 ms,110592,108,0
MergeSort,6198300,6,6.198 ms,225280,220,0
SelectionSort,548061700,548,548.062 ms,73728,72,0
