Algoritm,Timp_ns,Timp_ms,Timp_uman,RAM_bytes,RAM_KB,RAM_MB
QuickSort,3978400,3,3.978 ms,311296,304,0
HeapSort,10676900,10,10.677 ms,204800,200,0
MergeSort,29524100,29,29.524 ms,237568,232,0
InsertionSort,281372900,281,281.373 ms,4096,4,0
SelectionSort,13655032700,13655,13.655 s,0,0,0
BubbleSort,32598925300,32598,32.599 s,0,0,0
