Algoritm,Timp_ns,Timp_ms,Timp_uman,RAM_bytes,RAM_KB,RAM_MB
QuickSort,8968300,8,8.968 ms,536576,524,0
HeapSort,14745000,14,14.745 ms,520192,508,0
MergeSort,34082800,34,34.083 ms,208896,204,0
InsertionSort,2307522600,2307,2.308 s,45056,44,0
SelectionSort,34713345900,34713,34.713 s,0,0,0
BubbleSort,96837279200,96837,96.837 s,0,0,0
