Algoritm,Timp_ns,Timp_ms,Timp_uman,RAM_bytes,RAM_KB,RAM_MB
QuickSort,11669300,11,11.669 ms,270336,264,0
HeapSort,21346300,21,21.346 ms,323584,316,0
MergeSort,50715200,50,50.715 ms,208896,204,0
InsertionSort,1705998200,1705,1.706 s,0,0,0
SelectionSort,24171914600,24171,24.172 s,0,0,0
BubbleSort,68304363600,68304,68.304 s,0,0,0
